query,source,object_id,title,artist,filename,image_path,object_url,is_public_domain
mythological painting,met,337896,Jupiter Fighting the Giants,Jacopo Zucchi,artwork2_met_754_jacopo-zucchi_jupiter-fighting-the-giants.jpg,artworks/artwork2_met_754_jacopo-zucchi_jupiter-fighting-the-giants.jpg,https://www.metmuseum.org/art/collection/search/337896,True
historical painting,met,39569,Eighteen Songs of a Nomad Flute: The Story of Lady Wenji,Unidentified artist,artwork2_met_755_unidentified-artist_eighteen-songs-of-a-nomad-flute-the-story-of-lady.jpg,artworks/artwork2_met_755_unidentified-artist_eighteen-songs-of-a-nomad-flute-the-story-of-lady.jpg,https://www.metmuseum.org/art/collection/search/39569,True
marine painting,met,39482,Mandala of Wakamiya of Kasuga Shrine (Kasuga wakamiya mandara),,artwork2_met_756_unknown_mandala-of-wakamiya-of-kasuga-shrine-kasuga-wakami.jpg,artworks/artwork2_met_756_unknown_mandala-of-wakamiya-of-kasuga-shrine-kasuga-wakami.jpg,https://www.metmuseum.org/art/collection/search/39482,True
still life painting,met,10997,Still Life—Violin and Music,William Michael Harnett,artwork2_met_757_william-michael-harnett_still-lifeviolin-and-music.jpg,artworks/artwork2_met_757_william-michael-harnett_still-lifeviolin-and-music.jpg,https://www.metmuseum.org/art/collection/search/10997,True
still life painting,met,435904,Still Life with a Skull and a Writing Quill,Pieter Claesz,artwork2_met_758_pieter-claesz_still-life-with-a-skull-and-a-writing-quill.jpg,artworks/artwork2_met_758_pieter-claesz_still-life-with-a-skull-and-a-writing-quill.jpg,https://www.metmuseum.org/art/collection/search/435904,True
still life painting,met,898372,Still Life,Fidelia Bridges,artwork2_met_759_fidelia-bridges_still-life.jpg,artworks/artwork2_met_759_fidelia-bridges_still-life.jpg,https://www.metmuseum.org/art/collection/search/898372,True
still life painting,met,437317,Still Life with Apples and Pitcher,Camille Pissarro,artwork2_met_760_camille-pissarro_still-life-with-apples-and-pitcher.jpg,artworks/artwork2_met_760_camille-pissarro_still-life-with-apples-and-pitcher.jpg,https://www.metmuseum.org/art/collection/search/437317,True
still life painting,met,437999,Still Life with Teapot and Fruit,Paul Gauguin,artwork2_met_761_paul-gauguin_still-life-with-teapot-and-fruit.jpg,artworks/artwork2_met_761_paul-gauguin_still-life-with-teapot-and-fruit.jpg,https://www.metmuseum.org/art/collection/search/437999,True
still life painting,met,435882,Still Life with Apples and a Pot of Primroses,Paul Cézanne,artwork2_met_762_paul-cézanne_still-life-with-apples-and-a-pot-of-primroses.jpg,artworks/artwork2_met_762_paul-cézanne_still-life-with-apples-and-a-pot-of-primroses.jpg,https://www.metmuseum.org/art/collection/search/435882,True
still life painting,met,435883,Still Life with Apples and Pears,Paul Cézanne,artwork2_met_763_paul-cézanne_still-life-with-apples-and-pears.jpg,artworks/artwork2_met_763_paul-cézanne_still-life-with-apples-and-pears.jpg,https://www.metmuseum.org/art/collection/search/435883,True
still life painting,met,436976,"Still Life with Poppy, Insects, and Reptiles",Otto Marseus van Schrieck,artwork2_met_764_otto-marseus-van-schrieck_still-life-with-poppy-insects-and-reptiles.jpg,artworks/artwork2_met_764_otto-marseus-van-schrieck_still-life-with-poppy-insects-and-reptiles.jpg,https://www.metmuseum.org/art/collection/search/436976,True
still life painting,met,436305,Still Life,Georg Flegel,artwork2_met_765_georg-flegel_still-life.jpg,artworks/artwork2_met_765_georg-flegel_still-life.jpg,https://www.metmuseum.org/art/collection/search/436305,True
still life painting,met,11734,Still Life: Balsam Apple and Vegetables,James Peale,artwork2_met_766_james-peale_still-life-balsam-apple-and-vegetables.jpg,artworks/artwork2_met_766_james-peale_still-life-balsam-apple-and-vegetables.jpg,https://www.metmuseum.org/art/collection/search/11734,True
still life painting,met,435881,Still Life with a Ginger Jar and Eggplants,Paul Cézanne,artwork2_met_767_paul-cézanne_still-life-with-a-ginger-jar-and-eggplants.jpg,artworks/artwork2_met_767_paul-cézanne_still-life-with-a-ginger-jar-and-eggplants.jpg,https://www.metmuseum.org/art/collection/search/435881,True
still life painting,met,207551,Floral still life,Dirck van Rijswijck,artwork2_met_768_dirck-van-rijswijck_floral-still-life.jpg,artworks/artwork2_met_768_dirck-van-rijswijck_floral-still-life.jpg,https://www.metmuseum.org/art/collection/search/207551,True
still life painting,met,438376,"Still Life with Oysters, a Silver Tazza, and Glassware",Willem Claesz Heda,artwork2_met_769_willem-claesz-heda_still-life-with-oysters-a-silver-tazza-and-glasswa.jpg,artworks/artwork2_met_769_willem-claesz-heda_still-life-with-oysters-a-silver-tazza-and-glasswa.jpg,https://www.metmuseum.org/art/collection/search/438376,True
still life painting,met,436485,Vanitas Still Life,Jacques de Gheyn II,artwork2_met_770_jacques-de-gheyn-ii_vanitas-still-life.jpg,artworks/artwork2_met_770_jacques-de-gheyn-ii_vanitas-still-life.jpg,https://www.metmuseum.org/art/collection/search/436485,True
still life painting,met,436293,Still Life with Flowers and Fruit,Henri Fantin-Latour,artwork2_met_771_henri-fantin-latour_still-life-with-flowers-and-fruit.jpg,artworks/artwork2_met_771_henri-fantin-latour_still-life-with-flowers-and-fruit.jpg,https://www.metmuseum.org/art/collection/search/436293,True
still life painting,met,437513,Still Life with Ham,Philippe Rousseau,artwork2_met_772_philippe-rousseau_still-life-with-ham.jpg,artworks/artwork2_met_772_philippe-rousseau_still-life-with-ham.jpg,https://www.metmuseum.org/art/collection/search/437513,True
still life painting,met,11737,Still Life with Cake,Raphaelle Peale,artwork2_met_773_raphaelle-peale_still-life-with-cake.jpg,artworks/artwork2_met_773_raphaelle-peale_still-life-with-cake.jpg,https://www.metmuseum.org/art/collection/search/11737,True
still life painting,met,437429,Still Life with Peaches,Auguste Renoir,artwork2_met_774_auguste-renoir_still-life-with-peaches.jpg,artworks/artwork2_met_774_auguste-renoir_still-life-with-peaches.jpg,https://www.metmuseum.org/art/collection/search/437429,True
